category,key,Español,Inglés,
index,title,Bienvenida,Welcome,
index,start,Comenzar,Start,
start_consent,read_carefully,Leé con atención,Read carefully,
start_consent,consent_explanation,"Te pediremos que escuches melodías y escribas tus pensamientos. Tu información y los textos podrán utilizarse exclusivamente con fines de investigación de forma anónima y confidencial, sin ningún fin de lucro. Los resultados podrán publicarse en revistas científicas y otros medios conforme a las prácticas estándar del campo.","You will be asked to listen to melodies and write down your thoughts. Your information and texts can be used exclusively for research purposes anonymously and confidentially, without any profit. Results can be published in scientific journals and other outlets in accordance with standard practices in the field.",
start_consent,consent_agreement,Doy mi consentimiento para que mis datos se recopilen y utilicen bajo estas condiciones.,I consent to my data being collected and used under these conditions.,
start_consent,next,Siguiente,Next,
start_dni,title,Ingreso,Access,
start_dni,header,Ingreso,Access,
start_dni,enter_ID,Escribí tus iniciales y los últimos tres números de tu DNI,Please enter your initials and the last three digits of your ID,
start_dni,next,Siguiente,Next,
checkID,title,Ingreso,Access,
checkID,question,¿Es tu primera vez haciendo la experiencia?,Is this your first time completing this survey?,
checkID,yes,Sí,Yes,
checkID,no,No,No,
newID,title,Nuevo ID,New ID,
newID,your_id_is,Tu ID es,Your ID is,
newID,text,"Como ya existe un participante con tus mismas inciales y dígitos, generamos uno nuevo, único para vos. Recordalo para más adelante.",A participant with your same inicials and digits is already registered in our database. We have created a new one just for you. Please remember it for future use.,
newID,next,Siguiente,Next,
form,title,Formulario,Form,
form,instruction,Completá el siguiente cuestionario,Please answer the following questions,
form,age,¿Cuántos años tenés?,How old are you?,
form,gender,¿Cuál es tu género?,What is your gender?,
form,female,Femenino,Female,
form,male,Masculino,Male,
form,other,Otro,Other,
form,rather_not_say,Prefiero no decir,I'd rather not say,
form,education,¿Cuál es el mayor nivel educativo que alcanzaste?,What is the highest educational level you have completed?,
form,primary_incomplete,Primario incompleto,Primary (incomplete),
form,primary_complete,Primario completo,Primary (completed),
form,secondary_complete,Secundario completo,Secondary (completed),
form,terciary_complete,Terciario completo,Terciary (completed),
form,university_complete,Universitario completo,University (completed),
form,postgrad_complete,Posgrado completo,Postgraduate (completed),
form,training,¿Qué nivel de formación tenés en armonía y escalas musicales?,What level of training do you have in harmony and musical scales?,
form,none,Nulo,None,Problematico este None para codigos en python
form,low,Bajo,Low,
form,medium,Medio,Medium,
form,high,Alto,High,
form,expert,Experto,Expert,
form,instruments,¿Tocás algún instrumento?,Do you play any instruments?,
form,no,No,No,
form,yes,Sí,Yes,
form,familiarity,¿Qué tan familiar te resulta el concepto de modos en música?,How familiar are with the concept of musical modes?,
form,not_at_all,Nada,Not at all,
form,a_little,Poco,A little,
form,somewhat,Medio,Somewhat,
form,fairly,Bastante,Fairly,
form,very,Mucho,Very,
volume,title,Calibración,Calibration,
volume,volume,Volumen,Volume,
volume,instructions,"Ponete los auriculares, reproducí el audio, y fijá el volumen de escucha que te quede más cómodo.","Put your headphones on, play the audio, and set the volume to a comfortable level.",
volume,next,"Cuando estés conforme con tu nivel, presioná el botón ""Siguiente"".

","Once you are satisfied, press ""Next"".",
instructions,title,Consigna,Instructions,
instructions,instructions_1,Vas a escuchar dos melodías distintas.,You will hear two different melodies.,
instructions,instructions_2,"Mientras escuchás, cerrá los ojos e imaginá un lugar específico y todos los detalles que puedas. ¿Qué lugar es? ¿Cómo es el clima? ¿Qué objetos hay? ¿Ves formas o colores? ¿Hay gente? ¿Quiénes son y qué hacen? ¿Qué sonidos y aromas percibís? ¿Cómo te sentís? Dejá correr tu imaginación.
No hay respuestas correctas o incorrectas.","While you listen, close your eyes and imagine a specific place with as much detail as you can. What place is it? What is the weather like? What objects are present there? Do you see shapes or colors? Is there anyone around? Who are they and what are they doing? What sounds and aromas do you perceive? How do you feel? Let your imagination flow. There are no right or wrong answers.",
instructions,instructions_3,Luego vas a tener que escribir lo que te imaginaste.,You will then need to write down all these thoughts.,
instructions,start,Comenzar,Start,
listen,title,Escuchar,Listen,
listen,listen_1,Vamos con la primera melodía,Let's begin with the first melody,
listen,listen_2,Vamos con la segunda melodía,Let's listen to the second melody,
listen,instruction,Cerrá los ojos y escuchá con atención,Close your eyes and listen carefully,
listen,playing,Reproduciendo...,Playing...,
text_input,write,Escribir,Write,
text_input,now,Ahora escribí todo lo que pasó por tu mente,Now write down everything that crossed your mind,
text_input,limit,Tenés un máximo de tres minutos,You have a three minute limit,
text_input,imagined,Imaginé...,I imagined...,
text_input,send,Enviar,Send,
text_input,time_left,Quedan X segundos para escribir,You have X seconds left,
text_input,time_up,Tiempo finalizado.,Time up,
text_input,empty_text,¿Querés enviar un texto vacío?,Do you want to send an empty text?,
finalize,title,Finalizado,Finalized,
finalize,good_job,¡Muy bien!,Good job!,
finalize,forget,"Ahora, olvidate de la melodía anterior y vamos con la segunda.","Now, forget about the first melody and let's move on to the second one.",
finalize,done,¡Terminaste!,You're done!,
finalize,move_on,Ahora pasá a la siguiente sala para continuar la experiencia,"Now, move on to the second room to continue the experience.",
totems_access,title,Totems,Totems,
totems_access,access,Ingresar,Access,
totems_access,enter_code,Ingresá tu código,Enter your code,
totems_access,identical,Tiene que ser idéntico al que usaste al realizar la experiencia,It has to be identical to the one used during the experience,
totems_access,next,Siguiente,Next,
totems_main,title,Totem,Totem,
totems_main,click,Presioná uno de los botones de la izquierda para visualizar el contenido,Click one of the buttons on the left to see the content,
totems_main,enough,"No registramos suficientes palabras en tu texto para hacer el análisis. Te invitamos a participar de nuevo. Esta ventana se cerrará dentro de X segundos.
",We did not register enough words in your texts to perform analyses. You are welcome to participate again. This window will close itself in X seconds.,
totems_main,ionian,Jónico,Ionian,
totems_main,dorian,Dórico,Dorian,
totems_main,phrygian,Frigio,Phrygian,
totems_main,lydian,Lidio,Lydian,
totems_main,mixolydian,Mixolidio,Mixolydian,
totems_main,aeolian,Eólico,Aeolian,
totems_main,locrian,Locrio,Locrian,
totems_main,loading,Cargando...,Loading...,
totems_main,you,Vos,You,
totems_main,the_rest,El resto,The rest,
concepts,title,Conceptos,Concepts,
,subtitle,Identificamos los conceptos claves de tu texto,We identified the key concepts in your text,
emotions,title,Emociones,Emotions,
emotions,subtitle,Medimos la intensidad de las emociones que sentiste al escuchar la melodía,We measured the intensity of the emotions you felt while listening to the melody,
emotions,joy,Alegría,Joy,
emotions,sadness,Tristeza,Sadness,
emotions,surprise,Sorpresa,Surprise,
emotions,disgust,Asco,Disgust,
emotions,fear,Miedo,Fear,
emotions,anger,Enojo,Anger,
emotions,positive,Positivo,Positive,
emotions,neutral,Neutro,Neutral,
emotions,negative,Negativo,Negative,
image,title,Imagen,Image,
image,subtitle,Captamos esta imagen de tu cabeza. ¿Coincide con lo que te imaginaste?,We captured this image from your mind. Does it match what you imagined?,
singularity,title,Singularidad,Singularity,
singularity,subtitle,Calculamos la similitud entre tu respuesta y las del resto de las personas,We measured the similarity between your response and everyone else's,
singularity,singularity_text_0,¡Tu mente refleja la conciencia musical colectiva!,Your mind reflects the collective musical consciousness!,
singularity,singularity_text_0_25,¡Tu mente se acerca a la conciencia musical colectiva!,Your mind is close to the collective musical consciousness!,
singularity,singularity_text_0_5,"¡Tu experiencia musical es, a la vez, común y única!",Your musical experience is common and unique at the same time!,
singularity,singularity_text_0_75,¡Vivís la música de manera particular!,You experience music in a singular way!,
singularity,singularity_text_1,¡Vivís la música de forma totalmente única!,You experience music in a totally unique way!,
about_the_mode,title,Acerca del modo,About the mode,
about_the_mode,subtitle,Transcribimos la melodía que escuchaste. Volvé a oírla y conocé más sobre este modo.,We transcribed the melody that you heard. Play it again and learn more about this mode.,
mode,ionian_text_1,"Muy empleado en la música occidental, en múltiples géneros.","Very used in occidental music, in multiple genres.",
mode,ionian_text_2,Único modo griego mayor con séptima mayor y cuarta natural.,Only Greek major mode with major seventh and natural fourth.,
mode,ionian_text_3,"Históricamente vinculado con ‘dulzura’, ‘encanto’, ‘alegría’ y ‘placer’.","Historically associated with 'sweetness', 'charm', 'joy' and 'pleasure'.",
mode,ionian_text_4,Suele emplearse para comunicar emociones positivas.,It is usually employed to communicate positive emotions.,
mode,dorian_text_1,"Muy común en el rock, el jazz, el funk y el pop.","Very common in rock, jazz, funk and pop.",
mode,dorian_text_2,Único modo griego menor con sexta natural.,Only Greek minor mode with natural sixth.,
mode,dorian_text_3,"Históricamente vinculado con ‘seriedad’, ‘brillantez’, ‘constancia’ y ‘virtud’.","Historically associatied with 'seriousness', 'brightness', 'constancy' and 'virtue'.",
mode,dorian_text_4,Muy utilizado para comunicar emociones positivas y sensaciones lúdicas.,Widely used to communicate positive emotions and playful sensations.,
mode,phrygian_text_1,Común en el metal y algunos subgéneros del flamenco.,Common in metal and some subgenres of flamenco.,
mode,phrygian_text_2,Único modo griego menor con segunda menor y quinta natural.,Only Greek minor mode with minor second and natural fifth.,
mode,phrygian_text_3,"Históricamente vinculado a ‘dureza, ‘ira’, ‘crueldad’ y ‘lamento’.","Historically linked to 'toughness', 'anger', 'cruelty' and 'regret'.",
mode,phrygian_text_4,Muy utilizado para comunicar emociones negativas y para generar tensión.,Widely used to communicate negative emotions and to generate tension.,
mode,lydian_text_1,Suele emplearse para generar climas particulares en el rock y la música de cine.,Usually employed to create particular climates in rock and film scores.,
mode,lydian_text_2,Único modo griego mayor con séptima mayor y cuarta aumentada.,Only Greek major mode with major seventh and augmented fourth.,
mode,lydian_text_3,"Históricamente vinculado a ‘simplicidad’, ‘modestia’, ‘suavidad’ y ‘superación’.","Historically linked to 'simplicity', 'modesty', 'softness' and 'improvement'.",
mode,lydian_text_4,Muy utilizado para comunicar emociones positivas y sensaciones oníricas.,Widely used to communicate positive emotions and dream sensations.,
mode,mixolydian_text_1,"Común en el rock, el blues y el funk.","Common in rock, blues and funk.",
mode,mixolydian_text_2,Único modo griego mayor con séptima menor.,Only major Greek mode with minor seventh.,
mode,mixolydian_text_3,"Históricamente vinculado a ‘entusiasmo’, ‘suavidad’ y ‘lujuria’.","Historically linked to 'enthusiasm', 'softness' and 'lust'.",
mode,mixolydian_text_4,Muchos artistas lo emplean para comunicar emociones positivas.,Many artists use it to communicate positive emotions.,
mode,aeolian_text_1,"Común en occidente, en géneros como el rock, el pop, el jazz y la música clásica.","Common in the West, in genres such as rock, pop, jazz and classical music.",
mode,aeolian_text_2,Único modo griego menor con segunda menor y sexta menor.,Only minor Greek mode with minor second and minor sixth.,
mode,aeolian_text_3,"Históricamente vinculado a ‘calma’, ‘tristeza’, y ‘pesadez’ y ‘añoranza’.","Historically linked to 'calmness', 'sadness', 'heaviness' and 'yearning'.",
mode,aeolian_text_4,Suele usarse para comunicar melancolía.,Usually used to communicate melancholy.,
mode,locrian_text_1,Es el modo menos utilizado en el mundo.,It is the least used mode in the world.,
mode,locrian_text_2,Único modo griego con segunda menor y quinta disminuida.,Only greek mode with minor second and diminished fifth.,
mode,locrian_text_3,"Históricamente vinculado a ‘miedo’, ‘peligro’ y ‘confusión’.","Historically linked to 'fear', 'danger' and 'confusion'.",
mode,locrian_text_4,Armónicamente es muy inestable y suele evocar incomodidad.,Harmonically it is very unstable and often evokes discomfort.,
songs,title,Canciones,Songs,
songs,subtitle,Recopilamos canciones de distintos géneros que utilizan este modo.,We compiled songs from different genres that employ this mode.,
songs,scan,Escaneá este QR para escuchar los temas completos.,Scan this QR to listen to the full tracks.,
songs,classical,Clásica,Classical,
songs,blues,"Blues, jazz y fusión","Blues, jazz and fusion",
songs,argentine_rock,Rock y metal argentino,Argentine rock and metal,
songs,international_rock,Rock y metal internacional,International rock and metal,
songs,pop,Pop,Pop,
share,title,Compartir,Share,
share,subtitle,Generamos un souvenir que podés compartir en tus redes sociales.,We generated a souvenir that you can share on social media.,
share,scan,Escaneá el código QR para acceder a tu souvenir.,Scan the QR code to access the souvenir,
share,download,Descargá la imagen en tu teléfono,Download the image on your phone,
share,social,Compartí tu souvenir en redes sociales,Share your souvenir on social media,
share,template_text,La música de Melodiás de la mente disparó estas imágenes en mi cerebro,The music of Mind Melodies triggered these images in my brain,
exit,title,Salir,Exit,
exit,subtitle,¿Seguro que querés salir?,Are you sure you want to exit?,
exit,automatic_close,Esta página se cerrará en X segundos,This window will close itself in X seconds.,
error,title,Error,Error,
error,server_error,Error del servidor,Server error,
error,server_trouble,Estamos teniendo problemas con nuestros servidores,We are having trouble with our servers,
error,server_guide,"Por favor, avisale a alguno de nuestros guías",Please let one of our guides know,
error,404_page,Esta página no existe,This page does not exist,
error,404_ID,Parece que este ID no existe,It looks like this ID does not exist,
error,not_found,No encontrado,Not found,
error,start_of_experience,Inicio de la experiencia,Start of experience,
error,totems_access,Acceso a totems,Totems access,
mode_col,title,Modo _,_ Mode,
mode_col,emotional_thermometer,Termómetro emocional,Emotional thermometer,
mode_col,joy,Alegría,Joy,
mode_col,sadness,Tristeza,Sadness,
mode_col,surprise,Sorpresa,Surprise,
mode_col,disgust,Asco,Disgust,
mode_col,fear,Miedo,Fear,
mode_col,anger,Enojo,Anger,
mode_col,positive,Positivo,Positive,
mode_col,neutral,Neutro,Neutral,
mode_col,negative,Negativo,Negative,
